UNIPROT,pvalue,qvalue,effectSize,directedEffect
P17858,0.30128655,0.40836003,4.18309,-4.18309
P17931,0.4540475,0.56617725,1.6748495,1.6748495
P17987,0.49859014,0.61213857,0.23313618,-0.23313618
P18124,0.096952,0.1805573,0.7585478,0.7585478
P18206,0.9652342,0.97915465,0.014138222,0.014138222
P18428,0.89634717,0.93412924,0.03012371,0.03012371
P18621,0.23835735,0.34965447,0.38557053,0.38557053
P19338,0.04602772,0.10354361,0.51471615,0.51471615
P19623,0.75314146,0.82695633,0.053940773,0.053940773
P19971,0.60180974,0.7062153,0.3999796,-0.3999796
P20618,0.16728103,0.27025557,0.87452793,-0.87452793
P20674,0.072702855,0.14601666,1.6718998,-1.6718998
P20700,0.2115472,0.3227219,4.339427,4.339427
P20810,0.44934618,0.5612914,1.0617485,-1.0617485
P21281,0.65479904,0.75118506,0.2720747,-0.2720747
P21333,0.55281657,0.6628249,0.1157856,0.1157856
P21397,0.2940437,0.40081602,0.9465637,-0.9465637
P21549,0.21216919,0.32298362,0.30123138,0.30123138
P21695,2.84E-05,0.001928815,1.2027798,1.2027798
P21796,0.22633167,0.34092405,0.250535,0.250535
P21912,0.001847434,0.012496317,1.3766508,1.3766508
P21980,0.23930916,0.34965447,0.28003502,-0.28003502
P22033,0.10518983,0.19093946,0.2430811,-0.2430811
P22102,0.1146694,0.20300719,0.93318176,-0.93318176
P22234,0.22869667,0.3424234,3.6459293,-3.6459293
P22307,0.004598859,0.021693299,1.1321049,1.1321049
P22314,0.026079599,0.067996606,0.45918655,-0.45918655
P22392,0.000303324,0.004801994,2.5723972,-2.5723972
P22626,0.5116137,0.62491804,0.27558804,-0.27558804
P22695,0.008473032,0.03197454,0.68105125,-0.68105125
P22760,0.115726225,0.20437357,0.78603363,-0.78603363
P23141,0.1853585,0.29017907,0.3872261,0.3872261
P23246,0.18518096,0.29017907,1.2334185,1.2334185
P23284,0.000328599,0.004808272,2.1506338,2.1506338
P23378,0.19784832,0.3057268,0.36786842,0.36786842
P23381,0.046771728,0.10479787,0.9295769,0.9295769
P23396,0.026179524,0.06800983,1.3830147,1.3830147
P23526,0.004071572,0.020558566,0.46588612,-0.46588612
P23528,0.003417605,0.018350659,2.6996384,-2.6996384
P23588,0.09056326,0.17043,1.2743797,1.2743797
P23786,0.43649563,0.54619056,0.3893137,0.3893137
P24298,0.000785857,0.007913144,1.9012098,1.9012098
P24534,0.012171519,0.04116498,1.9330063,1.9330063
P24539,0.023773905,0.06373302,1.4640074,-1.4640074
P24752,0.05979454,0.12782228,0.8612728,0.8612728
P25325,0.08878059,0.16840123,1.2199335,-1.2199335
P25398,0.022885414,0.062154684,0.2482214,0.2482214
P25685,0.26380697,0.37191322,0.91873074,-0.91873074
P25705,0.016156359,0.04867273,0.42506218,0.42506218
P25787,0.002775792,0.01605034,1.8457413,-1.8457413
P25788,0.26500097,0.37191322,1.5028677,-1.5028677
P25789,0.001880628,0.012601968,1.3663492,1.3663492
P26038,0.1603072,0.2618229,0.28685188,0.28685188
P26373,0.11247793,0.20061366,0.35006523,-0.35006523
P26440,0.8947274,0.9337983,0.16121674,-0.16121674
P26639,0.07877443,0.1551683,0.9722519,-0.9722519
P26640,0.26178208,0.37167868,2.5074415,-2.5074415
P26641,0.42587847,0.5375963,0.13176441,-0.13176441
P27105,0.2416121,0.35139123,1.5360556,-1.5360556
P27144,0.002001621,0.013046924,0.7397413,0.7397413
P27338,0.068596065,0.13972546,0.75612545,-0.75612545
P27348,0.9723964,0.98060215,0.034555435,-0.034555435
P27487,0.12687601,0.2202665,0.5933294,-0.5933294
P27635,0.31188387,0.41876525,0.34229565,-0.34229565
P27797,2.95E-09,2.11E-06,1.5943117,1.5943117
P27816,0.3035669,0.40957555,0.2719736,-0.2719736
P27824,0.04780583,0.10612004,2.2174368,-2.2174368
P28066,0.08338167,0.16111593,0.30037975,-0.30037975
P28070,0.7119582,0.7951309,0.08083248,0.08083248
P28074,0.9210424,0.94611347,0.01969719,-0.01969719
P28332,0.8884903,0.92864037,0.083934784,-0.083934784
P28838,3.08E-05,0.001928815,1.8184099,1.8184099
P29401,0.055533305,0.11957166,0.3938856,0.3938856
P29692,0.048205927,0.1066779,0.40531063,-0.40531063
P30038,0.015597547,0.047589093,0.7251606,0.7251606
P30039,0.000321472,0.004801994,2.3123388,2.3123388
P30040,0.000178722,0.003372196,0.8764763,0.8764763
P30041,1.59E-05,0.001928815,2.098444,2.098444
P30042,0.032666426,0.08076491,0.623189,0.623189
P30043,0.003581004,0.018741455,1.488162,1.488162
P30044,0.000119513,0.002954858,1.1705389,1.1705389
P30048,0.000545469,0.006308088,1.0885344,1.0885344
P30049,0.023822116,0.06373302,1.1122456,-1.1122456
P30050,0.352668,0.4656776,0.37166977,-0.37166977
