source	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
BRD2	APOL2	NA	NA	NA	NA
BRD2	MYH9	NA	NA	NA	NA
BRD2	TST	NA	NA	NA	NA
BRD2	MPST	NA	NA	NA	NA
BRD2	LGALS1	NA	NA	NA	NA
BRD2	RPL3	NA	NA	NA	NA
BRD2	ST13	NA	NA	NA	NA
BRD2	ACO2	NA	NA	NA	NA
BRD2	XRCC6	NA	NA	NA	NA
BRD2	CYB5R3	NA	NA	NA	NA
BRD2	TYMP	NA	NA	NA	NA
BRD2	PLIN2	NA	NA	NA	NA
BRD2	RPS6	NA	NA	NA	NA
BRD2	VCP	NA	NA	NA	NA
BRD2	TLN1	NA	NA	NA	NA
BRD2	GRHPR	NA	NA	NA	NA
BRD2	TJP2	NA	NA	NA	NA
BRD2	SEC61B	NA	NA	NA	NA
BRD2	ERP44	NA	NA	NA	NA
BRD2	HSDL2	NA	NA	NA	NA
BRD2	RAB14	NA	NA	NA	NA
BRD2	GSN	NA	NA	NA	NA
BRD2	STOM	NA	NA	NA	NA
BRD2	RPL35	NA	NA	NA	NA
BRD2	HSPA5	NA	NA	NA	NA
BRD2	RPL12	NA	NA	NA	NA
BRD2	AK1	NA	NA	NA	NA
BRD2	SPTAN1	NA	NA	NA	NA
BRD2	RPL7A	NA	NA	NA	NA
BRD2	PMPCA	NA	NA	NA	NA
BRD2	TUBB4B	NA	NA	NA	NA
BRD2	IVD	NA	NA	NA	NA
BRD2	PDIA3	NA	NA	NA	NA
BRD2	B2M	NA	NA	NA	NA
BRD2	ANXA2	NA	NA	NA	NA
BRD2	TPM1	NA	NA	NA	NA
BRD2	PPIB	NA	NA	NA	NA
BRD2	RPL4	NA	NA	NA	NA
BRD2	PKM	NA	NA	NA	NA
BRD2	COX5A	NA	NA	NA	NA
BRD2	ETFA	NA	NA	NA	NA
BRD2	PSMA4	NA	NA	NA	NA
BRD2	IDH2	NA	NA	NA	NA
BRD2	TALDO1	NA	NA	NA	NA
BRD2	RPLP2	NA	NA	NA	NA
BRD2	CTSD	NA	NA	NA	NA
