TF	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
LMNB1	ASGR1	NA	NA	NA	NA
LMNB1	ACADVL	NA	NA	NA	NA
LMNB1	EIF4A1	NA	NA	NA	NA
LMNB1	RPL26	NA	NA	NA	NA
LMNB1	ALDOC	NA	NA	NA	NA
LMNB1	RPL23A	NA	NA	NA	NA
LMNB1	PIPOX	NA	NA	NA	NA
LMNB1	PSMD11	NA	NA	NA	NA
LMNB1	RPL23	NA	NA	NA	NA
LMNB1	LASP1	NA	NA	NA	NA
LMNB1	RPL19	NA	NA	NA	NA
LMNB1	PSMD3	NA	NA	NA	NA
LMNB1	JUP	NA	NA	NA	NA
LMNB1	ACLY	NA	NA	NA	NA
LMNB1	RAB5C	NA	NA	NA	NA
LMNB1	RPL27	NA	NA	NA	NA
LMNB1	PHB	NA	NA	NA	NA
LMNB1	LRRC59	NA	NA	NA	NA
LMNB1	NME2	NA	NA	NA	NA
LMNB1	NME1-NME2	NA	NA	NA	NA
LMNB1	CLTC	NA	NA	NA	NA
LMNB1	PSMC5	NA	NA	NA	NA
LMNB1	RPL38	NA	NA	NA	NA
LMNB1	SLC9A3R1	NA	NA	NA	NA
LMNB1	GALK1	NA	NA	NA	NA
LMNB1	ACOX1	NA	NA	NA	NA
LMNB1	EIF4A3	NA	NA	NA	NA
LMNB1	P4HB	NA	NA	NA	NA
LMNB1	ARHGDIA	NA	NA	NA	NA
LMNB1	DCXR	NA	NA	NA	NA
LMNB1	FASN	NA	NA	NA	NA
LMNB1	TALDO1	NA	NA	NA	NA
LMNB1	RPLP2	NA	NA	NA	NA
LMNB1	TPP1	NA	NA	NA	NA
LMNB1	RPL27A	NA	NA	NA	NA
LMNB1	LDHA	NA	NA	NA	NA
LMNB1	HTATIP2	NA	NA	NA	NA
LMNB1	CD59	NA	NA	NA	NA
LMNB1	F2	NA	NA	NA	NA
LMNB1	MTCH2	NA	NA	NA	NA
LMNB1	AHNAK	NA	NA	NA	NA
LMNB1	EEF1G	NA	NA	NA	NA
LMNB1	GANAB	NA	NA	NA	NA
LMNB1	STIP1	NA	NA	NA	NA
LMNB1	PRDX5	NA	NA	NA	NA
LMNB1	CFL1	NA	NA	NA	NA
LMNB1	PC	NA	NA	NA	NA
LMNB1	NDUFV1	NA	NA	NA	NA
LMNB1	CPT1A	NA	NA	NA	NA
LMNB1	CTTN	NA	NA	NA	NA
LMNB1	RPS3	NA	NA	NA	NA
LMNB1	C11orf54	NA	NA	NA	NA
