"UNIPROT	pvalue	qvalue	effectSize	directedEffect"
"P49411	3.74E-05	0.003903664	1.5515614	1.5515614"
"P49419	0.00451471	0.022289397	1.1453276	1.1453276"
"P49588	0.001117443	0.011270215	1.8933611	1.8933611"
"P49591	0.30642116	0.41908705	0.21650314	0.21650314"
"P49748	0.4266779	0.53516674	0.135849	0.135849"
"P49755	0.76449925	0.82402503	0.1255579	0.1255579"
"P49773	0.18492387	0.29338482	0.66899776	0.66899776"
"P50053	0.17017588	0.27556	1.5706139	-1.5706139"
"P50395	0.14996621	0.25089124	0.48843384	-0.48843384"
"P50416	0.029553939	0.08048877	1.0468206	-1.0468206"
"P50440	0.012165658	0.043598756	0.5661793	-0.5661793"
"P50502	0.000519649	0.007751145	2.627121	2.627121"
"P50552	0.8096774	0.86349297	0.07064533	0.07064533"
"P50914	0.04519792	0.10428015	3.927744	-3.927744"
"P50990	0.005963732	0.027504995	0.45394802	-0.45394802"
"P50991	0.09955337	0.18604033	0.29869175	0.29869175"
"P50995	0.13035122	0.22779198	1.3206253	1.3206253"
"P51148	0.002622857	0.015705794	1.1527414	1.1527414"
"P51570	0.001300883	0.011670603	1.1858673	1.1858673"
"P51571	0.58022714	0.682734	0.13259888	-0.13259888"
"P51572	0.34742236	0.4589584	1.5497398	-1.5497398"
"P51648	0.0346332	0.08738574	0.8276453	0.8276453"
"P51649	0.10242934	0.18980339	0.40452766	-0.40452766"
"P51659	0.04039224	0.096340925	0.63768387	-0.63768387"
"P51858	0.015052943	0.049893778	1.2072668	1.2072668"
"P51991	0.36037734	0.47248098	0.44331646	-0.44331646"
"P52209	0.061606184	0.13189599	0.8533373	0.8533373"
"P52272	0.018882528	0.05872715	1.0800924	1.0800924"
"P52565	0.000357783	0.006728065	3.3365269	3.3365269"
"P52758	0.56799775	0.6737726	0.84640884	0.84640884"
"P52815	0.27417436	0.3848252	0.3186016	-0.3186016"
"P52895	0.000265504	0.005872558	1.3536434	-1.3536434"
"P52907	0.4410731	0.54631144	0.38419342	-0.38419342"
"P53007	0.006374841	0.028666481	1.2432871	1.2432871"
"P53396	0.01369836	0.04672	1.8415174	-1.8415174"
"P53597	0.02206197	0.06462966	2.0834541	2.0834541"
"P53621	0.364074	0.4742366	1.1964998	1.1964998"
"P54819	0.59313303	0.6967586	0.38140297	-0.38140297"
"P54868	0.15504807	0.25695744	0.41196346	0.41196346"
"P54920	0.2696028	0.38067916	1.0848923	1.0848923"
"P55036	0.059371583	0.12818448	1.8962431	1.8962431"
"P55072	0.512151	0.6191411	0.54003906	-0.54003906"
"P55084	0.002008481	0.013766867	1.0156059	1.0156059"
"P55157	0.7444763	0.80986136	0.4485712	0.4485712"
"P55263	0.064248845	0.13580742	1.747097	-1.747097"
"P56385	0.15173846	0.2532561	1.8047886	-1.8047886"
"P59998	0.000540982	0.007751145	2.3431034	2.3431034"
"P60174	0.08155164	0.1626425	0.806448	0.806448"
"P60468	0.07672366	0.15388322	0.62689304	0.62689304"
"P60660	0.08542393	0.1677982	1.0724144	-1.0724144"
"P60842	0.001929578	0.013520763	1.9553547	1.9553547"
"P60866	0.34553587	0.45768908	0.22771263	0.22771263"
"P60900	0.2590259	0.37018675	0.2866745	-0.2866745"
"P60981	0.7314715	0.8006495	0.28314495	-0.28314495"
"P61026	0.000289544	0.005972457	1.0862741	-1.0862741"
"P61247	0.09535325	0.180633	0.5362692	0.5362692"
"P61254	0.4110654	0.5238486	1.193697	-1.193697"
"P61313	0.62935305	0.72483397	0.10505295	-0.10505295"
"P61353	0.008809433	0.034962676	1.1433382	1.1433382"
"P61513	0.07549659	0.15228741	3.9828897	-3.9828897"
"P61604	0.00025898	0.005872558	2.6856937	-2.6856937"
"P61978	0.50872844	0.61605895	0.41355896	0.41355896"
"P61981	0.034248464	0.087324254	2.2368555	2.2368555"
"P62070	0.9283302	0.955395	0.058764458	0.058764458"
"P62081	0.013042371	0.045810524	1.0271597	-1.0271597"
"P62158	0.61043787	0.71222377	0.46078396	0.46078396"
"P62191	0.000549734	0.007751145	1.271369	1.271369"
"P62195	0.105572656	0.1939194	0.21063519	-0.21063519"
"P62241	0.18627028	0.29419872	0.669364	-0.669364"
"P62258	0.6575751	0.7427968	0.4774332	0.4774332"
"P62263	0.4633657	0.5699239	0.19412708	0.19412708"
"P62266	0.2680323	0.37922016	3.738202	-3.738202"
"P62280	0.001670811	0.012956693	2.309164	-2.309164"
"P62333	0.037121948	0.09006218	0.92397404	0.92397404"
"P62424	0.030319484	0.081081636	0.299613	-0.299613"
